dataset,algorithm,attack,seed,rounds,n_clients,n_params,malicious_frac,zt_tau,test_mae,test_rmse,test_mape,test_accuracy,test_macro_f1,test_macro_recall,test_macro_precision,test_weighted_f1,test_auc,val_mae,val_rmse,val_mape,val_accuracy,val_macro_f1,val_macro_recall,val_macro_precision,val_weighted_f1,val_auc,sec_trust_auc,sec_malicious_weight_mass,sec_tdr,sec_fpr,sec_mean_trust_benign,sec_mean_trust_malicious,sec_trust_margin,sec_tau_used,n_malicious,wall_time_s
METR-LA,FedAvg,No_Attack,42,40,10,7825,0.3,0.35,2.4177663326263428,4.345465183258057,5.906896114349365,0.83685,0.7072413614852107,0.6929510073139522,0.7233071728129119,0.8334216808960143,0.9747783455483774,2.3112831115722656,4.105151176452637,5.632111072540283,0.8492,0.7084859790384412,0.6945275897220192,0.7254773602955373,0.8467027655046273,0.9777118322164622,,0.0,,,0.5,,,0.35,3,248.5539586544037
METR-LA,FedAvg,No_Attack,43,40,10,7825,0.3,0.35,2.423400402069092,4.358703136444092,5.954730033874512,0.8371,0.7043760463802275,0.689809078246611,0.7207222690641153,0.8337452884189727,0.974866188787568,2.3089449405670166,4.120384693145752,5.63671875,0.8502,0.7099289323426005,0.6960247172533526,0.7268367028566305,0.847788684951635,0.9776386623187344,,0.0,,,0.5,,,0.35,3,249.2581329345703
METR-LA,FedAvg,No_Attack,44,40,10,7825,0.3,0.35,2.435257911682129,4.372129440307617,6.091914176940918,0.8345,0.7018458509513316,0.6849007275226072,0.722277620652356,0.8313103646557649,0.9744430112413585,2.3295836448669434,4.127064228057861,5.779340744018555,0.84705,0.7036837348318852,0.6888248880537661,0.723287221057452,0.8447946417704012,0.9774680716306041,,0.0,,,0.5,,,0.35,3,248.6331753730774
METR-LA,FedAvg,No_Attack,45,40,10,7825,0.3,0.35,2.430537462234497,4.3763885498046875,6.000049591064453,0.83565,0.7014016702237793,0.6871435841615094,0.7178625961237164,0.8314121932557594,0.9749251517145697,2.3100500106811523,4.116405963897705,5.661079406738281,0.849,0.7074489937071853,0.6931397732266864,0.7249337964630893,0.8457357631136668,0.9776439246473145,,0.0,,,0.5,,,0.35,3,249.37417674064636
METR-LA,FedAvg,No_Attack,46,40,10,7825,0.3,0.35,2.4201276302337646,4.349922180175781,5.899224758148193,0.8358,0.7053335616346528,0.6909100045301915,0.7214799151736863,0.8322006915351289,0.974901033132024,2.2996394634246826,4.08685827255249,5.621184825897217,0.84965,0.7084897555389975,0.6938781396421981,0.7257871505749119,0.8469056042594828,0.9779929661871302,,0.0,,,0.5,,,0.35,3,249.04501175880432
METR-LA,FedAvg,No_Attack,47,40,10,7825,0.3,0.35,2.415494441986084,4.334912300109863,5.914380073547363,0.8352,0.7011020639999188,0.686300554986725,0.7181244049294961,0.8315446986295174,0.9752361327187604,2.304553508758545,4.0977864265441895,5.641318321228027,0.84875,0.7066032043962027,0.6924896086534633,0.724454715237638,0.8461042898181751,0.9779240596268607,,0.0,,,0.5,,,0.35,3,249.70475721359253
METR-LA,FedProx,No_Attack,42,40,10,7825,0.3,0.35,2.480637788772583,4.403048515319824,6.319310665130615,0.8313,0.6967730459698369,0.6812259575313874,0.7158066671590186,0.8287441702362421,0.975107358008784,2.364650249481201,4.161135196685791,5.999918460845947,0.8468,0.7052894032131702,0.6896708826501333,0.7259780588810492,0.844804764960236,0.9780989433642779,,0.0,,,0.5,,,0.35,3,396.9911458492279
METR-LA,FedProx,No_Attack,43,40,10,7825,0.3,0.35,2.4559316635131836,4.382962703704834,6.1110520362854,0.8332,0.7009252936359882,0.686422307082243,0.7175901833087491,0.8299677888202334,0.975047629231732,2.339749813079834,4.126139163970947,5.787209510803223,0.8468,0.7049944870377803,0.6900409355078814,0.7236751181179836,0.8443259430664939,0.9780465137252132,,0.0,,,0.5,,,0.35,3,396.42073225975037
METR-LA,FedProx,No_Attack,44,40,10,7825,0.3,0.35,2.4720757007598877,4.396883487701416,6.238382816314697,0.83185,0.697900161528135,0.6824362475551744,0.7163099472625578,0.8292252475020708,0.9750687934844492,2.359253168106079,4.149582386016846,5.920352935791016,0.84645,0.7029629958611568,0.6874126690973206,0.722673626156098,0.8444038852487312,0.97810041204483,,0.0,,,0.5,,,0.35,3,396.90859270095825
METR-LA,FedProx,No_Attack,45,40,10,7825,0.3,0.35,2.480130910873413,4.425877094268799,6.1574931144714355,0.83215,0.6977174084883234,0.6837917890644087,0.7134127537682307,0.8284898349460651,0.9750396107092341,2.357069969177246,4.163992404937744,5.801246166229248,0.84725,0.705206180618145,0.6898315103195618,0.7231552557695451,0.8442573670374719,0.9780179088059096,,0.0,,,0.5,,,0.35,3,397.2301585674286
METR-LA,FedProx,No_Attack,46,40,10,7825,0.3,0.35,2.467768907546997,4.380736827850342,6.149346828460693,0.83185,0.6989845080835986,0.686431948990207,0.7126865980692262,0.8295136586256667,0.975365587317907,2.3512938022613525,4.131691932678223,5.819240570068359,0.8464,0.7051635002032548,0.6920280955379969,0.7202476987823339,0.8446308226772157,0.9782453972920002,,0.0,,,0.5,,,0.35,3,399.1729037761688
