Dataset,Attack,Algorithm,seed,true_class,pred_0,pred_1,pred_2,pred_3,pred_4
METR-LA,No_Attack,FedAvg,42,0,664,186,17,13,8
METR-LA,No_Attack,FedAvg,42,1,125,810,169,65,22
METR-LA,No_Attack,FedAvg,42,2,6,123,424,258,60
METR-LA,No_Attack,FedAvg,42,3,7,41,180,2217,1197
METR-LA,No_Attack,FedAvg,42,4,1,13,26,746,12622
METR-LA,No_Attack,FedProx,42,0,609,230,27,13,9
METR-LA,No_Attack,FedProx,42,1,105,802,194,73,17
METR-LA,No_Attack,FedProx,42,2,7,109,435,266,54
METR-LA,No_Attack,FedProx,42,3,4,42,178,2226,1192
METR-LA,No_Attack,FedProx,42,4,1,11,29,813,12554
METR-LA,No_Attack,SCAFFOLD,42,0,643,200,24,15,6
METR-LA,No_Attack,SCAFFOLD,42,1,126,806,184,63,12
METR-LA,No_Attack,SCAFFOLD,42,2,9,126,438,254,44
METR-LA,No_Attack,SCAFFOLD,42,3,5,46,200,2198,1193
METR-LA,No_Attack,SCAFFOLD,42,4,1,15,49,866,12477
METR-LA,No_Attack,FLTrust,42,0,565,280,24,11,8
METR-LA,No_Attack,FLTrust,42,1,93,803,205,78,12
METR-LA,No_Attack,FLTrust,42,2,6,107,455,247,56
METR-LA,No_Attack,FLTrust,42,3,3,41,208,2292,1098
METR-LA,No_Attack,FLTrust,42,4,1,15,34,853,12505
METR-LA,No_Attack,Multi-Krum,42,0,603,244,23,10,8
METR-LA,No_Attack,Multi-Krum,42,1,92,836,173,70,20
METR-LA,No_Attack,Multi-Krum,42,2,4,116,430,263,58
METR-LA,No_Attack,Multi-Krum,42,3,4,44,186,2202,1206
METR-LA,No_Attack,Multi-Krum,42,4,1,15,33,763,12596
METR-LA,No_Attack,Static-Mamdani-FL,42,0,668,180,21,11,8
METR-LA,No_Attack,Static-Mamdani-FL,42,1,129,810,162,68,22
METR-LA,No_Attack,Static-Mamdani-FL,42,2,6,124,427,257,57
METR-LA,No_Attack,Static-Mamdani-FL,42,3,7,43,186,2232,1174
METR-LA,No_Attack,Static-Mamdani-FL,42,4,1,13,27,782,12585
METR-LA,No_Attack,ZeroTrust-ANFIS-FL,42,0,661,185,23,11,8
METR-LA,No_Attack,ZeroTrust-ANFIS-FL,42,1,139,799,167,68,18
METR-LA,No_Attack,ZeroTrust-ANFIS-FL,42,2,6,127,412,263,63
METR-LA,No_Attack,ZeroTrust-ANFIS-FL,42,3,5,46,190,2214,1187
METR-LA,No_Attack,ZeroTrust-ANFIS-FL,42,4,1,14,30,752,12611
METR-LA,Byzantine_Noise,FedAvg,42,0,394,443,30,13,8
METR-LA,Byzantine_Noise,FedAvg,42,1,49,735,289,99,19
METR-LA,Byzantine_Noise,FedAvg,42,2,4,89,289,394,95
METR-LA,Byzantine_Noise,FedAvg,42,3,2,27,96,1500,2017
METR-LA,Byzantine_Noise,FedAvg,42,4,1,12,21,340,13034
METR-LA,Byzantine_Noise,FedProx,42,0,554,279,36,12,7
METR-LA,Byzantine_Noise,FedProx,42,1,81,820,199,75,16
METR-LA,Byzantine_Noise,FedProx,42,2,7,104,431,273,56
METR-LA,Byzantine_Noise,FedProx,42,3,4,40,167,2175,1256
METR-LA,Byzantine_Noise,FedProx,42,4,1,11,31,760,12605
METR-LA,Byzantine_Noise,SCAFFOLD,42,0,639,204,24,15,6
METR-LA,Byzantine_Noise,SCAFFOLD,42,1,119,812,187,63,10
METR-LA,Byzantine_Noise,SCAFFOLD,42,2,9,129,438,252,43
METR-LA,Byzantine_Noise,SCAFFOLD,42,3,5,46,204,2223,1164
METR-LA,Byzantine_Noise,SCAFFOLD,42,4,1,16,49,894,12448
METR-LA,Byzantine_Noise,FLTrust,42,0,659,186,25,10,8
METR-LA,Byzantine_Noise,FLTrust,42,1,170,772,171,61,17
METR-LA,Byzantine_Noise,FLTrust,42,2,6,148,428,230,59
METR-LA,Byzantine_Noise,FLTrust,42,3,6,51,226,2235,1124
METR-LA,Byzantine_Noise,FLTrust,42,4,3,12,36,843,12514
METR-LA,Byzantine_Noise,Multi-Krum,42,0,655,192,21,12,8
METR-LA,Byzantine_Noise,Multi-Krum,42,1,131,812,165,64,19
METR-LA,Byzantine_Noise,Multi-Krum,42,2,5,128,425,261,52
METR-LA,Byzantine_Noise,Multi-Krum,42,3,8,42,200,2180,1212
METR-LA,Byzantine_Noise,Multi-Krum,42,4,1,15,32,761,12599
METR-LA,Byzantine_Noise,Static-Mamdani-FL,42,0,580,266,27,8,7
METR-LA,Byzantine_Noise,Static-Mamdani-FL,42,1,95,777,231,73,15
METR-LA,Byzantine_Noise,Static-Mamdani-FL,42,2,6,104,383,318,60
METR-LA,Byzantine_Noise,Static-Mamdani-FL,42,3,6,34,142,2091,1369
METR-LA,Byzantine_Noise,Static-Mamdani-FL,42,4,1,13,23,773,12598
METR-LA,Byzantine_Noise,ZeroTrust-ANFIS-FL,42,0,652,189,28,11,8
METR-LA,Byzantine_Noise,ZeroTrust-ANFIS-FL,42,1,133,798,174,68,18
METR-LA,Byzantine_Noise,ZeroTrust-ANFIS-FL,42,2,7,123,436,251,54
METR-LA,Byzantine_Noise,ZeroTrust-ANFIS-FL,42,3,7,42,198,2207,1188
METR-LA,Byzantine_Noise,ZeroTrust-ANFIS-FL,42,4,1,15,33,768,12591
METR-LA,Label_Flipping,FedAvg,42,0,97,684,70,28,9
METR-LA,Label_Flipping,FedAvg,42,1,0,592,447,135,17
METR-LA,Label_Flipping,FedAvg,42,2,0,40,362,425,44
METR-LA,Label_Flipping,FedAvg,42,3,0,18,103,2614,907
METR-LA,Label_Flipping,FedAvg,42,4,1,6,24,2611,10766
METR-LA,Label_Flipping,FedProx,42,0,0,605,248,31,4
METR-LA,Label_Flipping,FedProx,42,1,0,118,874,192,7
METR-LA,Label_Flipping,FedProx,42,2,0,7,256,572,36
METR-LA,Label_Flipping,FedProx,42,3,0,5,70,2589,978
METR-LA,Label_Flipping,FedProx,42,4,0,1,16,2575,10816
METR-LA,Label_Flipping,SCAFFOLD,42,0,646,183,21,30,8
METR-LA,Label_Flipping,SCAFFOLD,42,1,135,788,179,69,20
METR-LA,Label_Flipping,SCAFFOLD,42,2,8,126,435,245,57
METR-LA,Label_Flipping,SCAFFOLD,42,3,4,40,205,2119,1274
METR-LA,Label_Flipping,SCAFFOLD,42,4,1,14,40,733,12620
METR-LA,Label_Flipping,FLTrust,42,0,0,7,395,457,29
METR-LA,Label_Flipping,FLTrust,42,1,0,2,333,788,68
METR-LA,Label_Flipping,FLTrust,42,2,0,0,75,717,79
METR-LA,Label_Flipping,FLTrust,42,3,0,1,34,2794,813
METR-LA,Label_Flipping,FLTrust,42,4,0,1,5,6928,6474
METR-LA,Label_Flipping,Multi-Krum,42,0,655,192,21,12,8
METR-LA,Label_Flipping,Multi-Krum,42,1,131,812,165,64,19
METR-LA,Label_Flipping,Multi-Krum,42,2,5,128,425,261,52
METR-LA,Label_Flipping,Multi-Krum,42,3,8,42,200,2180,1212
METR-LA,Label_Flipping,Multi-Krum,42,4,1,15,32,761,12599
METR-LA,Label_Flipping,Static-Mamdani-FL,42,0,225,595,43,18,7
METR-LA,Label_Flipping,Static-Mamdani-FL,42,1,10,711,349,108,13
METR-LA,Label_Flipping,Static-Mamdani-FL,42,2,2,58,368,403,40
METR-LA,Label_Flipping,Static-Mamdani-FL,42,3,0,19,108,2595,920
METR-LA,Label_Flipping,Static-Mamdani-FL,42,4,0,8,26,1776,11598
METR-LA,Label_Flipping,ZeroTrust-ANFIS-FL,42,0,639,207,23,11,8
METR-LA,Label_Flipping,ZeroTrust-ANFIS-FL,42,1,115,817,175,64,20
METR-LA,Label_Flipping,ZeroTrust-ANFIS-FL,42,2,7,116,424,265,59
METR-LA,Label_Flipping,ZeroTrust-ANFIS-FL,42,3,6,46,185,2197,1208
METR-LA,Label_Flipping,ZeroTrust-ANFIS-FL,42,4,1,14,32,772,12589
METR-LA,Sybil_Poisoning,FedAvg,42,0,290,541,35,15,7
METR-LA,Sybil_Poisoning,FedAvg,42,1,18,830,257,73,13
METR-LA,Sybil_Poisoning,FedAvg,42,2,2,117,483,236,33
METR-LA,Sybil_Poisoning,FedAvg,42,3,1,37,345,2432,827
METR-LA,Sybil_Poisoning,FedAvg,42,4,0,15,57,1616,11720
METR-LA,Sybil_Poisoning,FedProx,42,0,292,555,29,11,1
METR-LA,Sybil_Poisoning,FedProx,42,1,20,921,200,48,2
METR-LA,Sybil_Poisoning,FedProx,42,2,3,241,458,158,11
METR-LA,Sybil_Poisoning,FedProx,42,3,2,71,787,2523,259
METR-LA,Sybil_Poisoning,FedProx,42,4,0,18,181,4678,8531
METR-LA,Sybil_Poisoning,SCAFFOLD,42,0,570,268,29,14,7
METR-LA,Sybil_Poisoning,SCAFFOLD,42,1,91,858,170,53,19
METR-LA,Sybil_Poisoning,SCAFFOLD,42,2,8,143,441,222,57
METR-LA,Sybil_Poisoning,SCAFFOLD,42,3,4,54,236,1945,1403
METR-LA,Sybil_Poisoning,SCAFFOLD,42,4,1,19,51,658,12679
METR-LA,Sybil_Poisoning,FLTrust,42,0,414,425,31,14,4
METR-LA,Sybil_Poisoning,FLTrust,42,1,41,851,214,75,10
METR-LA,Sybil_Poisoning,FLTrust,42,2,2,115,473,248,33
METR-LA,Sybil_Poisoning,FLTrust,42,3,2,41,243,2753,603
METR-LA,Sybil_Poisoning,FLTrust,42,4,1,12,34,2452,10909
METR-LA,Sybil_Poisoning,Multi-Krum,42,0,538,302,29,12,7
METR-LA,Sybil_Poisoning,Multi-Krum,42,1,72,851,188,71,9
METR-LA,Sybil_Poisoning,Multi-Krum,42,2,5,121,471,240,34
METR-LA,Sybil_Poisoning,Multi-Krum,42,3,4,43,249,2643,703
METR-LA,Sybil_Poisoning,Multi-Krum,42,4,0,14,36,1841,11517
METR-LA,Sybil_Poisoning,Static-Mamdani-FL,42,0,447,391,30,15,5
METR-LA,Sybil_Poisoning,Static-Mamdani-FL,42,1,46,877,182,78,8
METR-LA,Sybil_Poisoning,Static-Mamdani-FL,42,2,3,124,486,238,20
METR-LA,Sybil_Poisoning,Static-Mamdani-FL,42,3,2,42,339,2716,543
METR-LA,Sybil_Poisoning,Static-Mamdani-FL,42,4,1,16,42,2463,10886
METR-LA,Sybil_Poisoning,ZeroTrust-ANFIS-FL,42,0,667,178,23,12,8
METR-LA,Sybil_Poisoning,ZeroTrust-ANFIS-FL,42,1,138,798,173,63,19
METR-LA,Sybil_Poisoning,ZeroTrust-ANFIS-FL,42,2,8,133,419,256,55
METR-LA,Sybil_Poisoning,ZeroTrust-ANFIS-FL,42,3,7,44,194,2195,1202
METR-LA,Sybil_Poisoning,ZeroTrust-ANFIS-FL,42,4,1,15,32,773,12587
PEMS-BAY,No_Attack,FedAvg,42,0,406,37,0,0,0
PEMS-BAY,No_Attack,FedAvg,42,1,44,571,45,4,1
PEMS-BAY,No_Attack,FedAvg,42,2,0,70,317,91,7
PEMS-BAY,No_Attack,FedAvg,42,3,0,1,63,1707,340
PEMS-BAY,No_Attack,FedAvg,42,4,0,0,1,262,16033
PEMS-BAY,No_Attack,FedProx,42,0,407,36,0,0,0
PEMS-BAY,No_Attack,FedProx,42,1,45,560,55,4,1
PEMS-BAY,No_Attack,FedProx,42,2,0,68,322,88,7
PEMS-BAY,No_Attack,FedProx,42,3,0,1,57,1729,324
PEMS-BAY,No_Attack,FedProx,42,4,0,0,0,286,16010
PEMS-BAY,No_Attack,SCAFFOLD,42,0,404,39,0,0,0
PEMS-BAY,No_Attack,SCAFFOLD,42,1,36,576,49,3,1
PEMS-BAY,No_Attack,SCAFFOLD,42,2,1,69,321,89,5
PEMS-BAY,No_Attack,SCAFFOLD,42,3,0,0,78,1692,341
PEMS-BAY,No_Attack,SCAFFOLD,42,4,0,0,0,293,16003
PEMS-BAY,No_Attack,FLTrust,42,0,406,37,0,0,0
PEMS-BAY,No_Attack,FLTrust,42,1,50,544,64,6,1
PEMS-BAY,No_Attack,FLTrust,42,2,1,61,311,108,4
PEMS-BAY,No_Attack,FLTrust,42,3,0,0,72,1722,317
PEMS-BAY,No_Attack,FLTrust,42,4,0,0,3,348,15945
PEMS-BAY,No_Attack,Multi-Krum,42,0,409,34,0,0,0
PEMS-BAY,No_Attack,Multi-Krum,42,1,45,567,48,4,1
PEMS-BAY,No_Attack,Multi-Krum,42,2,0,68,322,89,6
PEMS-BAY,No_Attack,Multi-Krum,42,3,0,1,60,1721,329
PEMS-BAY,No_Attack,Multi-Krum,42,4,0,0,0,274,16022
PEMS-BAY,No_Attack,Static-Mamdani-FL,42,0,408,35,0,0,0
PEMS-BAY,No_Attack,Static-Mamdani-FL,42,1,44,572,44,4,1
PEMS-BAY,No_Attack,Static-Mamdani-FL,42,2,0,70,322,87,6
PEMS-BAY,No_Attack,Static-Mamdani-FL,42,3,0,1,64,1710,336
PEMS-BAY,No_Attack,Static-Mamdani-FL,42,4,0,0,0,271,16025
PEMS-BAY,No_Attack,ZeroTrust-ANFIS-FL,42,0,407,36,0,0,0
PEMS-BAY,No_Attack,ZeroTrust-ANFIS-FL,42,1,42,573,45,4,1
PEMS-BAY,No_Attack,ZeroTrust-ANFIS-FL,42,2,0,69,319,90,7
PEMS-BAY,No_Attack,ZeroTrust-ANFIS-FL,42,3,0,1,62,1709,339
PEMS-BAY,No_Attack,ZeroTrust-ANFIS-FL,42,4,0,0,0,270,16026
PEMS-BAY,Byzantine_Noise,FedAvg,42,0,342,101,0,0,0
PEMS-BAY,Byzantine_Noise,FedAvg,42,1,21,515,120,8,1
PEMS-BAY,Byzantine_Noise,FedAvg,42,2,0,36,280,157,12
PEMS-BAY,Byzantine_Noise,FedAvg,42,3,0,0,27,1475,609
PEMS-BAY,Byzantine_Noise,FedAvg,42,4,0,0,0,203,16093
PEMS-BAY,Byzantine_Noise,FedProx,42,0,406,37,0,0,0
PEMS-BAY,Byzantine_Noise,FedProx,42,1,43,559,58,4,1
PEMS-BAY,Byzantine_Noise,FedProx,42,2,1,65,319,93,7
PEMS-BAY,Byzantine_Noise,FedProx,42,3,0,0,54,1707,350
PEMS-BAY,Byzantine_Noise,FedProx,42,4,0,0,0,261,16035
PEMS-BAY,Byzantine_Noise,SCAFFOLD,42,0,403,40,0,0,0
PEMS-BAY,Byzantine_Noise,SCAFFOLD,42,1,34,576,51,3,1
PEMS-BAY,Byzantine_Noise,SCAFFOLD,42,2,1,73,316,90,5
PEMS-BAY,Byzantine_Noise,SCAFFOLD,42,3,0,0,83,1687,341
PEMS-BAY,Byzantine_Noise,SCAFFOLD,42,4,0,0,0,309,15987
PEMS-BAY,Byzantine_Noise,FLTrust,42,0,410,33,0,0,0
PEMS-BAY,Byzantine_Noise,FLTrust,42,1,42,562,56,4,1
PEMS-BAY,Byzantine_Noise,FLTrust,42,2,0,57,321,100,7
PEMS-BAY,Byzantine_Noise,FLTrust,42,3,0,2,48,1654,407
PEMS-BAY,Byzantine_Noise,FLTrust,42,4,0,0,0,219,16077
PEMS-BAY,Byzantine_Noise,Multi-Krum,42,0,409,34,0,0,0
PEMS-BAY,Byzantine_Noise,Multi-Krum,42,1,46,567,46,5,1
PEMS-BAY,Byzantine_Noise,Multi-Krum,42,2,0,66,319,92,8
PEMS-BAY,Byzantine_Noise,Multi-Krum,42,3,0,1,59,1701,350
PEMS-BAY,Byzantine_Noise,Multi-Krum,42,4,0,0,0,254,16042
PEMS-BAY,Byzantine_Noise,Static-Mamdani-FL,42,0,351,92,0,0,0
PEMS-BAY,Byzantine_Noise,Static-Mamdani-FL,42,1,20,556,82,6,1
PEMS-BAY,Byzantine_Noise,Static-Mamdani-FL,42,2,0,48,299,132,6
PEMS-BAY,Byzantine_Noise,Static-Mamdani-FL,42,3,0,1,40,1653,417
PEMS-BAY,Byzantine_Noise,Static-Mamdani-FL,42,4,0,0,0,240,16056
PEMS-BAY,Byzantine_Noise,ZeroTrust-ANFIS-FL,42,0,403,40,0,0,0
PEMS-BAY,Byzantine_Noise,ZeroTrust-ANFIS-FL,42,1,37,574,48,5,1
PEMS-BAY,Byzantine_Noise,ZeroTrust-ANFIS-FL,42,2,0,68,323,86,8
PEMS-BAY,Byzantine_Noise,ZeroTrust-ANFIS-FL,42,3,0,1,67,1706,337
PEMS-BAY,Byzantine_Noise,ZeroTrust-ANFIS-FL,42,4,0,0,1,273,16022
PEMS-BAY,Label_Flipping,FedAvg,42,0,4,395,44,0,0
PEMS-BAY,Label_Flipping,FedAvg,42,1,0,81,532,51,1
PEMS-BAY,Label_Flipping,FedAvg,42,2,0,1,96,378,10
PEMS-BAY,Label_Flipping,FedAvg,42,3,0,0,4,1325,782
PEMS-BAY,Label_Flipping,FedAvg,42,4,0,0,0,102,16194
PEMS-BAY,Label_Flipping,FedProx,42,0,0,236,207,0,0
PEMS-BAY,Label_Flipping,FedProx,42,1,0,4,564,96,1
PEMS-BAY,Label_Flipping,FedProx,42,2,0,0,47,423,15
PEMS-BAY,Label_Flipping,FedProx,42,3,0,0,0,1063,1048
PEMS-BAY,Label_Flipping,FedProx,42,4,0,0,0,41,16255
PEMS-BAY,Label_Flipping,SCAFFOLD,42,0,404,39,0,0,0
PEMS-BAY,Label_Flipping,SCAFFOLD,42,1,52,526,78,8,1
PEMS-BAY,Label_Flipping,SCAFFOLD,42,2,2,52,290,132,9
PEMS-BAY,Label_Flipping,SCAFFOLD,42,3,0,0,51,1441,619
PEMS-BAY,Label_Flipping,SCAFFOLD,42,4,0,0,0,112,16184
PEMS-BAY,Label_Flipping,FLTrust,42,0,270,173,0,0,0
PEMS-BAY,Label_Flipping,FLTrust,42,1,8,531,114,11,1
PEMS-BAY,Label_Flipping,FLTrust,42,2,0,34,304,139,8
PEMS-BAY,Label_Flipping,FLTrust,42,3,0,0,34,1684,393
PEMS-BAY,Label_Flipping,FLTrust,42,4,0,0,0,228,16068
PEMS-BAY,Label_Flipping,Multi-Krum,42,0,409,34,0,0,0
PEMS-BAY,Label_Flipping,Multi-Krum,42,1,46,567,46,5,1
PEMS-BAY,Label_Flipping,Multi-Krum,42,2,0,66,319,92,8
PEMS-BAY,Label_Flipping,Multi-Krum,42,3,0,1,59,1701,350
PEMS-BAY,Label_Flipping,Multi-Krum,42,4,0,0,0,254,16042
PEMS-BAY,Label_Flipping,Static-Mamdani-FL,42,0,208,235,0,0,0
PEMS-BAY,Label_Flipping,Static-Mamdani-FL,42,1,3,489,163,9,1
PEMS-BAY,Label_Flipping,Static-Mamdani-FL,42,2,0,28,279,170,8
PEMS-BAY,Label_Flipping,Static-Mamdani-FL,42,3,0,0,26,1714,371
PEMS-BAY,Label_Flipping,Static-Mamdani-FL,42,4,0,0,0,264,16032
PEMS-BAY,Label_Flipping,ZeroTrust-ANFIS-FL,42,0,414,29,0,0,0
PEMS-BAY,Label_Flipping,ZeroTrust-ANFIS-FL,42,1,46,567,45,6,1
PEMS-BAY,Label_Flipping,ZeroTrust-ANFIS-FL,42,2,0,69,318,89,9
PEMS-BAY,Label_Flipping,ZeroTrust-ANFIS-FL,42,3,0,1,61,1724,325
PEMS-BAY,Label_Flipping,ZeroTrust-ANFIS-FL,42,4,0,0,3,282,16011
PEMS-BAY,Sybil_Poisoning,FedAvg,42,0,158,285,0,0,0
PEMS-BAY,Sybil_Poisoning,FedAvg,42,1,1,502,158,3,1
PEMS-BAY,Sybil_Poisoning,FedAvg,42,2,0,29,380,72,4
PEMS-BAY,Sybil_Poisoning,FedAvg,42,3,0,0,96,1969,46
PEMS-BAY,Sybil_Poisoning,FedAvg,42,4,0,0,1,2440,13855
PEMS-BAY,Sybil_Poisoning,FedProx,42,0,72,371,0,0,0
PEMS-BAY,Sybil_Poisoning,FedProx,42,1,0,427,233,4,1
PEMS-BAY,Sybil_Poisoning,FedProx,42,2,0,19,341,123,2
PEMS-BAY,Sybil_Poisoning,FedProx,42,3,0,0,43,2029,39
PEMS-BAY,Sybil_Poisoning,FedProx,42,4,0,0,0,2846,13450
PEMS-BAY,Sybil_Poisoning,SCAFFOLD,42,0,354,89,0,0,0
PEMS-BAY,Sybil_Poisoning,SCAFFOLD,42,1,18,564,77,5,1
PEMS-BAY,Sybil_Poisoning,SCAFFOLD,42,2,1,55,306,116,7
PEMS-BAY,Sybil_Poisoning,SCAFFOLD,42,3,0,0,56,1658,397
PEMS-BAY,Sybil_Poisoning,SCAFFOLD,42,4,0,0,0,227,16069
PEMS-BAY,Sybil_Poisoning,FLTrust,42,0,3,434,6,0,0
