Dataset,Algorithm,Attack,seed,had_cache,new_test_mae,d_test_mae,new_test_rmse,d_test_rmse,new_test_mape,d_test_mape,new_test_accuracy,d_test_accuracy,new_test_macro_f1,d_test_macro_f1,new_test_macro_recall,d_test_macro_recall,new_test_auc,d_test_auc,new_sec_trust_auc,d_sec_trust_auc,new_sec_malicious_weight_mass,d_sec_malicious_weight_mass,new_sec_tdr,d_sec_tdr,new_sec_fpr,d_sec_fpr,worst_delta,changed
METR-LA,Static-Mamdani-FL,Byzantine_Noise,42,True,2.7060248851776123,0.0,4.4913129806518555,0.0,6.697143077850342,0.0,0.82145,0.0,0.6735364225906446,0.0,0.6517987902010142,0.0,0.9733260164137179,0.0,1.0,0.0,0.1490404395628466,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,False
METR-LA,Static-Mamdani-FL,Byzantine_Noise,43,True,3.1172897815704346,0.0,4.873133182525635,0.0,7.5492167472839355,0.0,0.82315,0.0,0.6693565784328803,0.0,0.6447538842686293,0.0,0.9736394441033608,0.0,1.0,0.0,0.15977143963068324,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,False
METR-LA,Static-Mamdani-FL,Byzantine_Noise,44,True,2.6659998893737793,0.0,4.494231224060059,0.0,6.325789451599121,0.0,0.8279,0.0,0.695182515557007,0.0,0.6860935160248385,0.0,0.9732327086072537,0.0,1.0,0.0,0.1577149892163435,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,False
METR-LA,Static-Mamdani-FL,Byzantine_Noise,45,True,2.8686883449554443,0.0,4.604478359222412,0.0,6.605038642883301,0.0,0.81015,0.0,0.6932513380263163,0.0,0.7010222546586664,0.0,0.9717358689014965,0.0,1.0,0.0,0.14595907289413418,0.0,1.0,0.0,0.0,0.0,0.0,False
METR-LA,Static-Mamdani-FL,Byzantine_Noise,46,True,3.285045623779297,0.0,5.100918769836426,0.0,7.667367935180664,0.0,0.8081,0.0,0.6381487887336227,0.0,0.604482893776819,0.0,0.9721965240516619,0.0,1.0,0.0,0.14668176780730313,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,False
METR-LA,Static-Mamdani-FL,Byzantine_Noise,47,True,2.681683301925659,0.0,4.63169002532959,0.0,7.248575210571289,0.0,0.8229,0.0,0.6519400851310653,0.0,0.6257372748638355,0.0,0.9748752146260296,0.0,1.0,0.0,0.16601557601256312,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,False
METR-LA,Static-Mamdani-FL,Label_Flipping,42,True,3.5740270614624023,0.0,5.1955742835998535,0.0,9.474227905273438,0.0,0.77485,0.0,0.5735907143461152,0.0,0.5700770276570182,0.0,0.9715193884765448,0.0,1.0,0.0,0.20526238016315984,0.0,0.0,0.0,0.0,0.0,0.0,False
METR-LA,Static-Mamdani-FL,Label_Flipping,43,True,3.6768696308135986,0.0,5.428526878356934,0.0,9.915729522705078,0.0,0.77295,0.0,0.5689027265806186,0.0,0.5623806142300557,0.0,0.9686444204172837,0.0,1.0,0.0,0.20708725186768906,0.0,0.0,0.0,0.0,0.0,0.0,False
METR-LA,Static-Mamdani-FL,Label_Flipping,44,True,3.485297203063965,0.0,5.321884632110596,0.0,9.531743049621582,0.0,0.78715,0.0,0.5756548704979123,0.0,0.5631522591334386,0.0,0.968349306220556,0.0,1.0,0.0,0.20906207824181958,0.0,0.0,0.0,0.0,0.0,0.0,False
METR-LA,Static-Mamdani-FL,Label_Flipping,45,True,3.7878899574279785,0.0,5.383764266967773,0.0,9.802613258361816,0.0,0.7638,0.0,0.5727539234705423,0.0,0.5657812901218003,0.0,0.9697593979479449,0.0,1.0,0.0,0.21377812268639165,0.0,0.0,0.0,0.0,0.0,0.0,False
